score,gc_multi,rsi,macd_buy_like,vol_surge,vol_quiet,vol_down,hurst,close,close_adj,adv20,adv20_m,hh252,pct_of_52w_high,max_dd_252,dev200,atr14,natr14,pullback_20d,pullback_60d,adx14,plus_di14,minus_di14,skip_reason,sell_score,sell_reason,sell_trend_break,sell_cross_sma25_down,sell_macd_sell_like,sell_rsi_reversal,sell_trailing_stop,sell_ext_dev200,sell_di_bear,sell_vol_distribution,sell_natr_spike,ticker,skip_reason_yahoo,mkt_price,pe_ttm,pbr,eps_ttm,bps,market_cap,earn_ts,earn_start_ts,earn_end_ts,market_risk_on,market_close,market_ma200,fund_ok,earn_ts_pick,next_earn_date,days_to_earnings
2,False,7.510729613733915,False,True,False,False,0.26201196155277645,2949.0,2949.0,33182495.0,33.182495,3443.386474609375,0.8564243432287225,-0.17510851977838238,-0.04524349949656392,47.242764182948534,1.6019926816869627,-0.12232142857142858,-0.12232142857142858,28.569804920011276,11.461082490795189,67.10674424177166,"fund_low_adv20,fund_small_mcap",7,trend_break;cross_sma25_down;macd_sell_like;trailing_stop;di_bear;vol_distribution;natr_spike,True,True,True,False,True,False,True,True,True,1383.T,,2949.0,98.03857,2.5197268,30.08,1170.365,4719449600.0,,1749796200.0,1749796200.0,True,,,False,1749796200.0,2025-06-13,-228.0
1,False,43.86574074074074,False,True,False,False,0.5060238847994972,4313.0,4313.0,19912513720.0,19912.51372,6335.86669921875,0.6807277054190264,-0.44350680552456856,-0.19760857136540333,210.21851574285165,4.8740671398759945,-0.16333656644034922,-0.16333656644034922,25.769746741973574,23.10223731006683,31.32914251952415,,6,trend_break;cross_sma25_down;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,True,True,False,True,False,True,True,False,4307.T,,4313.0,163.93007,4.9306474,26.31,874.733,2477406552064.0,1777012200.0,1777012200.0,1777012200.0,True,,,True,1777012200.0,2026-04-24,-3.0
1,False,35.294117647058826,False,True,False,False,0.3233296475779201,93.0,93.0,72807365.0,72.807365,330.0,0.2818181818181818,-0.7181818181818183,-0.4837348728766514,11.161617784825316,12.001739553575607,-0.3007518796992481,-0.4945652173913043,22.934941325418592,23.41274392729842,25.779636401687018,"fund_neg_eps,fund_low_adv20,fund_small_mcap",6,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution;natr_spike,True,False,True,False,True,False,True,True,True,7709.T,,93.0,-4.4391408114558475,7.035328,-20.95,13.219,1280404352.0,,1753942500.0,1754288100.0,True,,,False,1753942500.0,2025-07-31,-194.0
0,False,24.37673130193906,False,True,False,False,0.41452331822120125,779.0,779.0,44559595.0,44.559595,1113.5938720703125,0.699536895395931,-0.3069514168932731,-0.21983355688473272,35.59117439991646,4.568828549411612,-0.19358178053830233,-0.28579644850497854,47.09699352361327,13.905159806481704,39.389606295212864,"fund_low_adv20,fund_small_mcap",6,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution;natr_spike,True,False,True,False,True,False,True,True,True,4439.T,,779.0,10.120826,2.1954732,76.97,354.821,23173199872.0,,1752129000.0,1752474600.0,True,,,False,1752129000.0,2025-07-10,-209.0
0,False,1.764705882352942,False,True,False,False,0.47596596734193114,472.0,472.0,19617270.0,19.61727,1418.9464111328125,0.33264117397018533,-0.6673588260298147,-0.573307981544578,46.74572190807163,9.9037546415406,-0.4813186813186813,-0.6673588260298147,55.86121918076688,5.410221660358479,59.92974210606228,"fund_neg_eps,fund_low_adv20,fund_small_mcap",6,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution;natr_spike,True,False,True,False,True,False,True,True,True,7426.T,,472.0,-0.38550438184535724,0.27552068,-1224.37,1713.12,524316000.0,,1754547000.0,1754892600.0,True,,,False,1754547000.0,2025-08-07,-189.0
1,False,39.34426229508197,False,True,False,False,0.38222245659153015,209.0,209.0,7651865.0,7.651865,446.0,0.46860986547085204,-0.6632653061224489,-0.2607265395635102,11.0918982672994,5.307128357559522,-0.12552301255230125,-0.12552301255230125,22.851276356636944,16.635138382623026,31.59494804551813,"fund_neg_eps,fund_low_adv20,fund_small_mcap",6,trend_break;cross_sma25_down;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,True,True,False,True,False,True,True,False,9327.T,,209.0,-9.971374045801527,-0.7332612,-20.96,-285.028,3049936896.0,,1747300500.0,1747300500.0,True,,,False,1747300500.0,2025-05-15,-249.0
1,False,42.69340974212034,False,False,True,False,0.47326885472488334,782.0,782.0,5311285.0,5.311285,1179.0,0.6632739609838847,-0.3367260390161153,-0.18256415616996813,28.936427104269224,3.7003103713899264,-0.19214876033057848,-0.19214876033057848,21.37632548799852,28.178321068116873,31.81793170984104,"fund_neg_eps,fund_low_adv20,fund_small_mcap",6,trend_break;cross_sma25_down;macd_sell_like;trailing_stop;di_bear;natr_spike,True,True,True,False,True,False,True,False,True,7036.T,,782.0,-6.720522516328636,3.894888,-116.36,200.776,3024420864.0,,1754373600.0,1754978400.0,True,,,False,1754373600.0,2025-08-05,-191.0
1,False,16.572504708097924,False,True,False,False,0.3496810856121511,2629.0,2629.0,8830838965.0,8830.838965,3334.552001953125,0.7884117561999733,-0.21158824380002672,-0.09707916746770462,58.898243961522745,2.240328792754764,-0.11896782841823061,-0.21158824380002672,26.77455674125109,15.995627173677745,48.53012772857778,earnings_blackout,5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution;before_earnings,True,False,True,False,True,False,True,True,False,9202.T,,2629.0,9.267811,0.85111785,283.67,3088.879,1191209992192.0,1777530600.0,1777530600.0,1777530600.0,True,,,True,1777530600.0,2026-04-30,1.0
2,False,24.365482233502533,False,True,False,True,0.4256265953789505,1566.0,1566.0,1765183280.0,1765.18328,1874.5,0.835422779407842,-0.22094138938895014,-0.0271520386848092,31.929292220718192,2.038907549215721,-0.08661417322834641,-0.16457722059215796,20.30849006559224,18.537220146962653,34.99086317873665,,5,trend_break;macd_sell_like;trailing_stop;di_bear;vol_distribution,True,False,True,False,True,False,True,True,False,4912.T,,1566.0,15.722892,1.3424292,99.6,1166.542,433236770816.0,1778567400.0,1778567400.0,1778567400.0,True,,,True,1778567400.0,2026-05-12,9.0
6,True,44.7136563876652,False,False,True,False,0.4131167035588449,1266.0,1266.0,1487911255.0,1487.911255,1484.0,0.8530997304582211,-0.17672748747371025,0.07312517747353109,51.10239834041196,4.0365243554827765,-0.14690026954177893,-0.14690026954177893,25.22837535255743,24.374541028745448,43.7966848225854,,5,cross_sma25_down;macd_sell_like;trailing_stop;di_bear;natr_spike,False,True,True,False,True,False,True,False,True,3863.T,,1266.0,8.278297,0.30144262,152.93,4199.804,146263359488.0,1778826600.0,1778826600.0,1778826600.0,True,,,True,1778826600.0,2026-05-15,12.0
